species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Yellow-breasted Chat,single-season,summer,0.029951,0.0,0.0,15,1,26-17,winter,No,
Yellow-headed Blackbird,vagrant,irregular,0.0015,0.0,0.0,9,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Bobolink,two-passage-migrant,two-passage,0.018587,0.0,0.0,25,2,26-31;33-15,summer|winter,No,classic_bimodal
Western Meadowlark,vagrant,irregular,0.002431,0.0,0.0,12,1,0-47,winter,No,low_peak_frequency|low_presence|low_annual_presence
Eastern Meadowlark,single-season,summer,0.069682,0.0,0.0,37,1,29-7,winter,No,
Orchard Oriole,single-season,summer,0.055612,0.0,0.0,16,1,27-15,winter,No,
Baltimore Oriole,single-season,summer,0.55931,0.0,0.0,25,1,32-15,winter,No,
Red-winged Blackbird,single-season,summer,0.680772,0.013257,0.0195,48,1,42-6,winter,No,
Brown-headed Cowbird,single-season,summer,0.445604,0.002603,0.0058,48,1,28-9,winter,No,
Rusty Blackbird,two-passage-migrant,two-passage,0.100703,0.0,0.0,33,2,17-35;43-9,summer|winter,Yes,classic_bimodal
Brewer's Blackbird,vagrant,irregular,0.0015,0.0,0.0,5,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Common Grackle,single-season,summer,0.579666,0.005099,0.0088,48,1,41-6,winter,No,
Ovenbird,two-passage-migrant,two-passage,0.097229,0.0,0.0,31,2,20-31;36-15,summer|winter,No,classic_bimodal
Worm-eating Warbler,vagrant,irregular,0.001587,0.0,0.0,5,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Louisiana Waterthrush,vagrant,irregular,0.005948,0.0,0.0,9,1,14-12,winter,No,
Northern Waterthrush,two-passage-migrant,two-passage,0.051099,0.0,0.0,20,2,20-31;34-14,summer|winter,No,classic_bimodal
Golden-winged Warbler,single-season,summer,0.011181,0.0,0.0,10,1,19-15,winter,No,low_presence
Blue-winged Warbler,two-passage-migrant,two-passage,0.038187,0.0,0.0,22,2,25-31;33-14,summer|winter,No,classic_bimodal
Black-and-white Warbler,two-passage-migrant,two-passage,0.142308,0.0,0.0,23,2,19-29;36-14,summer|winter,No,classic_bimodal
Prothonotary Warbler,single-season,summer,0.027224,0.0,0.0,19,1,24-14,winter,No,
Tennessee Warbler,two-passage-migrant,two-passage,0.172637,0.0,0.0,18,2,20-30;37-15,summer|winter,No,classic_bimodal
Orange-crowned Warbler,two-passage-migrant,two-passage,0.032062,0.0,0.0,21,2,19-34;40-15,summer|winter,No,classic_bimodal
Nashville Warbler,two-passage-migrant,two-passage,0.211959,0.0,0.0,23,2,19-30;38-14,summer|winter,No,classic_bimodal
Virginia's Warbler,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Connecticut Warbler,two-passage-migrant,two-passage,0.006824,0.0,0.0,10,2,20-34;36-17,summer|winter,No,classic_bimodal|low_presence
Mourning Warbler,two-passage-migrant,two-passage,0.033436,0.0,0.0,13,2,20-30;36-16,summer|winter,No,classic_bimodal|low_presence
Kentucky Warbler,vagrant,irregular,0.00247,0.0,0.0,4,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Common Yellowthroat,single-season,summer,0.215967,0.0,0.0,39,1,38-14,winter,Yes,
Hooded Warbler,single-season,summer,0.010844,0.0,0.0,16,1,20-14,winter,No,
American Redstart,two-passage-migrant,two-passage,0.257591,0.0,0.0,25,2,20-30;36-15,summer|winter,No,classic_bimodal
Kirtland's Warbler,vagrant,irregular,0.020325,0.0,0.0,5,1,37-34,winter,No,low_annual_presence
Cape May Warbler,two-passage-migrant,two-passage,0.072078,0.0,0.0,18,2,19-29;36-15,summer|winter,No,classic_bimodal
Cerulean Warbler,vagrant,irregular,0.005834,0.0,0.0,8,1,18-16,winter,No,
Northern Parula,two-passage-migrant,two-passage,0.126155,0.0,0.0,22,2,19-31;36-15,summer|winter,No,classic_bimodal
Magnolia Warbler,two-passage-migrant,two-passage,0.170806,0.0,0.0,20,2,20-30;37-15,summer|winter,No,classic_bimodal
Bay-breasted Warbler,two-passage-migrant,two-passage,0.150212,0.0,0.0,16,2,20-30;36-16,summer|winter,No,classic_bimodal
Blackburnian Warbler,two-passage-migrant,two-passage,0.117025,0.0,0.0,17,2,20-29;36-15,summer|winter,No,classic_bimodal
Northern Yellow Warbler,single-season,summer,0.39086,0.0,0.0,27,1,29-14,winter,No,
Chestnut-sided Warbler,two-passage-migrant,two-passage,0.144319,0.0,0.0,17,2,20-30;36-15,summer|winter,No,classic_bimodal
Blackpoll Warbler,two-passage-migrant,two-passage,0.153241,0.0,0.0,18,2,20-31;38-17,summer|winter,No,classic_bimodal
Black-throated Blue Warbler,two-passage-migrant,two-passage,0.083131,0.0,0.0,18,2,19-30;38-15,summer|winter,No,classic_bimodal
Palm Warbler,two-passage-migrant,two-passage,0.22967,0.0,0.0,19,2,19-32;39-14,summer|winter,No,classic_bimodal
Pine Warbler,two-passage-migrant,two-passage,0.027241,0.0,0.0,25,2,18-31;37-12,summer|winter,No,classic_bimodal
Yellow-rumped Warbler,two-passage-migrant,two-passage,0.353297,0.0,0.0,40,2,19-32;41-12,summer|winter,Yes,classic_bimodal
Yellow-throated Warbler,vagrant,irregular,0.010579,0.0,0.0,5,1,16-14,winter,No,low_annual_presence
Prairie Warbler,vagrant,irregular,0.019447,0.0,0.0,6,1,19-17,winter,No,low_annual_presence
Black-throated Gray Warbler,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Black-throated Green Warbler,two-passage-migrant,two-passage,0.156319,0.0,0.0,19,2,19-30;37-14,summer|winter,No,classic_bimodal
Canada Warbler,two-passage-migrant,two-passage,0.056295,0.0,0.0,14,2,20-29;34-16,summer|winter,No,classic_bimodal|low_presence
Wilson's Warbler,two-passage-migrant,two-passage,0.077448,0.0,0.0,17,2,20-30;36-16,summer|winter,No,classic_bimodal
Summer Tanager,vagrant,irregular,0.006806,0.0,0.0,5,1,18-16,winter,No,
Scarlet Tanager,single-season,summer,0.141249,0.0,0.0,25,1,21-15,winter,No,
Northern Cardinal,resident,year-round,0.683791,0.421281,0.6161,48,0,,,No,
Rose-breasted Grosbeak,single-season,summer,0.316237,0.0,0.0,27,1,27-15,winter,No,
Blue Grosbeak,single-season,summer,0.057424,0.0,0.0,16,1,27-19,winter,No,
Indigo Bunting,single-season,summer,0.189696,0.0,0.0,28,1,32-15,winter,No,
Dickcissel,single-season,summer,0.044127,0.0,0.0,14,1,27-19,winter,No,low_presence
