









Frequency of observations in the selected location(s).:
Number of taxa: 	412

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
King Eider	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	
Common Eider	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
King/Common Eider	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Harlequin Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0017794	0.0	0.0030395	0.0	0.0	0.0127389	0.0	0.0	0.0	
Surf Scoter	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014164	0.0	0.0015	0.0	7.215E-4	0.0	0.0013298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.002656	0.0222222	0.0207612	0.0471311	0.0373665	0.0287206	0.0212766	0.018315	0.0015	0.0	0.0	0.0	0.0	
White-winged Scoter	0.0162162	0.0113636	0.0	0.0071429	0.0081301	0.0	0.0084746	0.0	0.0095238	0.0175439	0.028169	0.0182927	0.0	0.0	0.0	0.0042493	0.0031008	0.001292	0.0	0.001443	0.0011696	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0011834	0.0	0.0030628	0.0015	0.0066401	0.0079365	0.0294118	0.0594262	0.044484	0.0182768	0.0182371	0.0695971	0.0296296	0.0063694	0.0120482	0.0072993	0.0068966	
Black Scoter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027473	0.0023256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0086505	0.0368852	0.0391459	0.0130548	0.0212766	0.018315	0.0111111	0.0063694	0.0060241	0.0072993	0.0	
Surf/Black Scoter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0069204	0.0102459	0.0142349	0.0	0.0015	0.003663	0.0	0.0	0.0	0.0	0.0	
scoter sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015314	0.0	0.001328	0.0015873	0.0	0.0020492	0.0053381	0.0	0.0	0.007326	0.0	0.0063694	0.0	0.0	0.0	
Long-tailed Duck	0.1027027	0.0454545	0.0571429	0.05	0.0162602	0.0	0.0084746	0.0142857	0.0095238	0.0087719	0.0	0.0121951	0.0015	0.0	0.0023256	0.0084986	0.0015504	0.001292	0.0026144	0.004329	0.0011696	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011834	0.0	0.0015	0.0031348	0.0015	0.0063492	0.017301	0.0553279	0.1049822	0.0861619	0.1276596	0.1904762	0.1259259	0.1210191	0.1024096	0.0729927	0.1034483	
Bufflehead	0.0054054	0.0	0.0015	0.0015	0.0015	0.0	0.0084746	0.0	0.0	0.0087719	0.0070423	0.0304878	0.137931	0.217033	0.2488372	0.3654391	0.3023256	0.1860465	0.0614379	0.010101	0.0035088	0.0013298	0.0032	0.0013423	0.0	0.0028129	0.0	0.0033975	0.0016474	0.0	0.0	0.0035503	0.0037879	0.0045942	0.0015	0.0	0.0031746	0.0086505	0.0717213	0.1263345	0.1592689	0.1276596	0.1611722	0.1259259	0.089172	0.0481928	0.0510949	0.0275862	
Common Goldeneye	0.2054054	0.0681818	0.0952381	0.1071429	0.1382114	0.0740741	0.0762712	0.1285714	0.1428571	0.2280702	0.1971831	0.2195122	0.1724138	0.1153846	0.1186047	0.1048159	0.0542636	0.0322997	0.0169935	0.0151515	0.0105263	0.0079787	0.008	0.0053691	0.0014388	0.0042194	0.0123023	0.0079275	0.0032949	0.0046948	0.0085324	0.0071006	0.0094697	0.0045942	0.0125392	0.0172643	0.0063492	0.017301	0.0307377	0.0765125	0.1018277	0.0942249	0.1501832	0.1481481	0.1401274	0.1325301	0.0729927	0.1517241	
Hooded Merganser	0.0486486	0.0113636	0.0285714	0.0015	0.0162602	0.0	0.0084746	0.0285714	0.0190476	0.0701754	0.0633803	0.0670732	0.1340996	0.1153846	0.1162791	0.1189802	0.0821705	0.0452196	0.0235294	0.0209235	0.0210526	0.0265957	0.024	0.0322148	0.0201439	0.0309423	0.0404218	0.0532276	0.0609555	0.0516432	0.0716724	0.0828402	0.0530303	0.0643185	0.0564263	0.0491368	0.0492063	0.0311419	0.0594262	0.094306	0.1044386	0.0911854	0.0879121	0.0703704	0.0254777	0.0361446	0.0656934	0.0206897	
Common Merganser	0.0702703	0.0454545	0.0380952	0.0071429	0.0081301	0.0015	0.0338983	0.0428571	0.0285714	0.0964912	0.0915493	0.1463415	0.1609195	0.1291209	0.1348837	0.1954674	0.1658915	0.1731266	0.1385621	0.1240981	0.1017544	0.0957447	0.0944	0.0926174	0.0848921	0.0998594	0.0702988	0.0758777	0.062603	0.0641628	0.059727	0.1029586	0.1382576	0.1316998	0.1739812	0.12749	0.1126984	0.083045	0.0840164	0.0711744	0.0365535	0.0486322	0.0622711	0.0777778	0.0318471	0.060241	0.0437956	0.1034483	
Red-breasted Merganser	0.1081081	0.0568182	0.0666667	0.0357143	0.0243902	0.0092593	0.0084746	0.0428571	0.0190476	0.0263158	0.028169	0.0121951	0.0076628	0.0302198	0.0209302	0.0481586	0.0449612	0.0490956	0.0496732	0.037518	0.0292398	0.0212766	0.0272	0.0241611	0.0158273	0.0126582	0.0140598	0.011325	0.0065898	0.0187793	0.0153584	0.0130178	0.0151515	0.0183767	0.0094044	0.0199203	0.0238095	0.0726644	0.1147541	0.1174377	0.1122715	0.1215805	0.1245421	0.1037037	0.0636943	0.0722892	0.0729927	0.0758621	
Common/Red-breasted Merganser	0.0216216	0.0113636	0.0285714	0.0071429	0.0	0.0	0.0	0.0	0.0190476	0.0	0.0070423	0.0182927	0.0	0.0027473	0.0139535	0.009915	0.0139535	0.0206718	0.0091503	0.012987	0.0070175	0.0106383	0.008	0.0107383	0.0115108	0.0084388	0.0193322	0.0101925	0.0098847	0.0062598	0.0051195	0.0106509	0.0132576	0.0061256	0.015674	0.0225764	0.0206349	0.0242215	0.0409836	0.0569395	0.0469974	0.0121581	0.032967	0.0259259	0.0063694	0.0481928	0.0145985	0.0206897	
Ruddy Duck	0.0054054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023256	0.0014164	0.0	0.002584	0.0026144	0.0015	0.0	0.0039894	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0040984	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
