species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Barred Owl,resident,year-round,0.018112,0.001678,0.0926,48,0,,,No,seasonal_variation|min_max_near_boundary
Long-eared Owl,vagrant,irregular,0.004732,0.0,0.0,10,1,0-47,winter,No,low_peak_frequency|low_presence|low_annual_presence
Short-eared Owl,vagrant,irregular,0.003943,0.0,0.0,21,1,0-47,winter,No,low_peak_frequency
Northern Saw-whet Owl,vagrant,irregular,0.003839,0.0,0.0,15,1,0-47,winter,Yes,low_peak_frequency
Belted Kingfisher,resident,year-round,0.18001,0.020338,0.113,48,0,,,No,seasonal_variation|min_max_near_boundary
Yellow-bellied Sapsucker,two-passage-migrant,two-passage,0.090145,0.0,0.0,36,2,16-34;39-11,summer|winter,Yes,classic_bimodal
Red-headed Woodpecker,single-season,summer,0.092007,0.004412,0.048,48,1,0-8,winter,No,
Red-bellied Woodpecker,resident,year-round,0.419901,0.132547,0.3157,48,0,,,No,seasonal_variation
Downy Woodpecker,resident,year-round,0.427426,0.221999,0.5194,48,0,,,No,
Hairy Woodpecker,resident,year-round,0.208607,0.079621,0.3817,48,0,,,No,seasonal_variation
Pileated Woodpecker,resident,year-round,0.11103,0.033531,0.302,48,0,,,No,seasonal_variation
Northern Flicker,single-season,summer,0.355615,0.029645,0.0834,48,1,0-6,winter,No,
American Kestrel,single-season,winter,0.09341,0.007969,0.0853,48,1,16-19,summer,No,overwintering
Merlin,single-season,winter,0.036664,0.000671,0.0183,48,1,18-21,summer,No,overwintering
Peregrine Falcon,resident,year-round,0.019192,0.0015,0.0782,48,0,,,No,seasonal_variation|min_max_near_boundary
Olive-sided Flycatcher,two-passage-migrant,two-passage,0.032323,0.0,0.0,12,2,20-28;35-18,summer|winter,No,classic_bimodal|low_presence
Eastern Wood-Pewee,single-season,summer,0.347334,0.0,0.0,24,1,35-16,winter,No,
Yellow-bellied Flycatcher,two-passage-migrant,two-passage,0.02013,0.0,0.0,13,2,20-29;35-17,summer|winter,No,classic_bimodal|low_presence
Acadian Flycatcher,single-season,summer,0.048941,0.0,0.0,16,1,29-17,winter,No,
Alder Flycatcher,two-passage-migrant,two-passage,0.036158,0.0,0.0,14,2,24-28;30-17,summer|winter,No,classic_bimodal|low_presence
Willow Flycatcher,single-season,summer,0.101899,0.0,0.0,18,1,31-17,winter,No,
Least Flycatcher,two-passage-migrant,two-passage,0.109413,0.0,0.0,23,2,20-28;35-15,summer|winter,No,classic_bimodal
Eastern Phoebe,single-season,summer,0.23835,0.0,0.0,36,1,39-10,winter,No,
Great Crested Flycatcher,single-season,summer,0.308985,0.0,0.0,20,1,32-15,winter,No,
Eastern Kingbird,single-season,summer,0.239226,0.0,0.0,21,1,32-15,winter,No,
Scissor-tailed Flycatcher,vagrant,irregular,0.041642,0.0,0.0,1,1,38-36,winter,No,low_annual_presence
White-eyed Vireo,vagrant,irregular,0.009117,0.0,0.0,7,1,19-15,winter,No,
Yellow-throated Vireo,two-passage-migrant,two-passage,0.069121,0.0,0.0,22,2,26-30;35-15,summer|winter,No,classic_bimodal
Blue-headed Vireo,two-passage-migrant,two-passage,0.049014,0.0,0.0,22,2,20-32;38-14,summer|winter,No,classic_bimodal
Philadelphia Vireo,two-passage-migrant,two-passage,0.030506,0.0,0.0,12,2,20-30;37-16,summer|winter,No,classic_bimodal|low_presence
Eastern Warbling Vireo,single-season,summer,0.318166,0.0,0.0,21,1,34-15,winter,No,
Red-eyed Vireo,single-season,summer,0.313733,0.0,0.0,23,1,36-16,winter,No,
Loggerhead Shrike,vagrant,irregular,0.00155,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Northern Shrike,single-season,winter,0.014512,0.0,0.0,25,1,11-39,summer,Yes,overwintering
Blue Jay,resident,year-round,0.701136,0.288288,0.4112,48,0,,,No,seasonal_variation
American Crow,resident,year-round,0.444922,0.301422,0.6775,48,0,,,No,
Fish Crow,vagrant,irregular,0.0015,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Common Raven,single-season,winter,0.023501,0.000839,0.0357,48,2,24-28;30-35,summer|summer,No,overwintering|two_summer_valleys_merged
Black-capped Chickadee,resident,year-round,0.501494,0.281199,0.5607,48,0,,,No,
Tufted Titmouse,resident,year-round,0.398244,0.216516,0.5437,48,0,,,No,
Horned Lark,resident,year-round,0.08782,0.008326,0.0948,48,0,,,No,seasonal_variation|min_max_near_boundary
Bank Swallow,single-season,summer,0.109953,0.0,0.0,20,1,32-15,winter,No,
Tree Swallow,single-season,summer,0.302422,0.0,0.0,31,1,32-10,winter,No,
Purple Martin,single-season,summer,0.170507,0.0,0.0,23,1,31-13,winter,No,
Northern Rough-winged Swallow,single-season,summer,0.068182,0.0,0.0,24,1,30-12,winter,No,
Barn Swallow,single-season,summer,0.395559,0.0,0.0,28,1,33-13,winter,No,
Cliff Swallow,single-season,summer,0.012743,0.0,0.0,19,1,31-15,winter,No,
Cave Swallow,vagrant,irregular,0.000839,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Ruby-crowned Kinglet,two-passage-migrant,two-passage,0.313016,0.0,0.0,30,2,18-34;40-12,summer|winter,Yes,classic_bimodal
Golden-crowned Kinglet,two-passage-migrant,two-passage,0.254011,0.0,0.0,34,2,0-10;16-34,winter|summer,Yes,classic_bimodal
White-breasted Nuthatch,resident,year-round,0.334728,0.132901,0.397,48,0,,,No,seasonal_variation
Red-breasted Nuthatch,resident,year-round,0.206814,0.020853,0.1008,48,0,,,No,seasonal_variation|min_max_near_boundary
Brown Creeper,two-passage-migrant,two-passage,0.222689,0.001704,0.0077,48,2,4-9;17-34,winter|summer,No,classic_bimodal
Blue-gray Gnatcatcher,two-passage-migrant,two-passage,0.195884,0.0,0.0,25,2,25-28;34-14,summer|winter,No,classic_bimodal
Northern House Wren,single-season,summer,0.30935,0.0,0.0,28,1,37-14,winter,No,
Winter Wren,two-passage-migrant,two-passage,0.062449,0.0,0.0,39,2,4-10;16-34,winter|summer,Yes,classic_bimodal
Sedge Wren,single-season,summer,0.031261,0.0,0.0,25,1,31-14,winter,No,
Marsh Wren,single-season,summer,0.09029,0.0,0.0,34,1,37-14,winter,No,
Carolina Wren,resident,year-round,0.036461,0.011261,0.3089,48,0,,,No,seasonal_variation
European Starling,resident,year-round,0.332073,0.128205,0.3861,48,0,,,No,seasonal_variation
Gray Catbird,single-season,summer,0.472734,0.0,0.0,39,1,38-15,winter,No,
Brown Thrasher,single-season,summer,0.107696,0.0,0.0,33,1,37-12,winter,No,
Northern Mockingbird,two-passage-migrant,two-passage,0.011137,0.0,0.0,31,2,1-4;8-42,winter|summer,Yes,classic_bimodal
Eastern Bluebird,resident,year-round,0.178899,0.041302,0.2309,48,0,,,No,seasonal_variation
Townsend's Solitaire,vagrant,irregular,0.012825,0.0,0.0,7,1,1-47,winter,No,low_annual_presence
Varied Thrush,vagrant,irregular,0.026316,0.0,0.0,9,1,12-9,summer,No,low_annual_presence
Veery,two-passage-migrant,two-passage,0.064953,0.0,0.0,21,2,27-31;33-15,summer|winter,No,classic_bimodal
Gray-cheeked Thrush,two-passage-migrant,two-passage,0.033345,0.0,0.0,14,2,20-31;37-15,summer|winter,No,classic_bimodal|low_presence
Swainson's Thrush,two-passage-migrant,two-passage,0.167505,0.0,0.0,16,2,20-31;37-15,summer|winter,No,classic_bimodal
Hermit Thrush,two-passage-migrant,two-passage,0.115355,0.0,0.0,34,2,18-35;41-11,summer|winter,Yes,classic_bimodal
Wood Thrush,single-season,summer,0.142063,0.0,0.0,23,1,27-15,winter,No,
American Robin,single-season,summer,0.755615,0.06213,0.0822,48,1,43-3,winter,No,
Bohemian Waxwing,vagrant,irregular,0.001949,0.0,0.0,14,1,0-47,winter,No,low_peak_frequency|low_presence|low_annual_presence
Cedar Waxwing,single-season,summer,0.317278,0.015041,0.0474,48,1,40-16,winter,No,
House Sparrow,resident,year-round,0.427488,0.205047,0.4797,48,0,,,No,seasonal_variation
Eurasian Tree Sparrow,vagrant,irregular,0.001294,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Pipit,single-season,summer,0.069376,0.0,0.0,21,1,43-32,winter,No,
Evening Grosbeak,single-season,summer,0.018423,0.0,0.0,15,1,42-38,winter,No,
Pine Grosbeak,vagrant,irregular,0.0015,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
House Finch,resident,year-round,0.326235,0.19406,0.5948,48,0,,,No,
Purple Finch,two-passage-migrant,two-passage,0.079179,0.0,0.0,39,2,0-11;17-31,winter|summer,Yes,classic_bimodal
Redpoll,vagrant,irregular,0.047436,0.0,0.0,25,1,13-41,summer,Yes,overwintering|low_annual_presence
Red Crossbill,vagrant,irregular,0.00194,0.0,0.0,11,1,0-47,winter,No,low_peak_frequency|low_presence
White-winged Crossbill,single-season,summer,0.009056,0.0,0.0,24,1,44-42,winter,No,
Pine Siskin,single-season,winter,0.056863,0.0,0.0,43,1,20-35,summer,No,overwintering
American Goldfinch,resident,year-round,0.534483,0.164808,0.3084,48,0,,,No,seasonal_variation
Lapland Longspur,single-season,winter,0.018614,0.0,0.0,28,1,10-36,summer,Yes,overwintering
Snow Bunting,single-season,winter,0.068533,0.0,0.0,25,1,8-38,summer,Yes,overwintering
Grasshopper Sparrow,single-season,summer,0.019104,0.0,0.0,15,1,27-16,winter,No,
Chipping Sparrow,single-season,summer,0.302422,0.0,0.0,39,1,38-12,winter,No,
Clay-colored Sparrow,two-passage-migrant,two-passage,0.007645,0.0,0.0,15,2,17-22;24-15,summer|winter,No,classic_bimodal
Field Sparrow,single-season,summer,0.088331,0.0,0.0,38,1,40-11,winter,No,
Lark Sparrow,vagrant,irregular,0.002656,0.0,0.0,3,1,0-47,winter,No,low_peak_frequency|low_annual_presence
American Tree Sparrow,single-season,winter,0.211132,0.0,0.0,30,1,16-38,summer,Yes,overwintering
Fox Sparrow,two-passage-migrant,two-passage,0.098235,0.0,0.0,33,2,0-8;15-36,winter|summer,Yes,classic_bimodal
Dark-eyed Junco,single-season,winter,0.423729,0.0,0.0,35,1,16-35,summer,Yes,overwintering
White-crowned Sparrow,two-passage-migrant,two-passage,0.375367,0.0,0.0,34,2,19-34;42-15,summer|winter,Yes,classic_bimodal
Harris's Sparrow,vagrant,irregular,0.003386,0.0,0.0,6,1,0-47,winter,No,low_peak_frequency|low_annual_presence
White-throated Sparrow,two-passage-migrant,two-passage,0.380645,0.0,0.0,38,2,18-33;42-13,summer|winter,Yes,classic_bimodal
Vesper Sparrow,two-passage-migrant,two-passage,0.041329,0.0,0.0,30,2,29-35;39-12,summer|winter,No,classic_bimodal
LeConte's Sparrow,vagrant,irregular,0.004205,0.0,0.0,4,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Nelson's Sparrow,vagrant,irregular,0.000701,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Savannah Sparrow,single-season,summer,0.076384,0.0,0.0,30,1,39-13,winter,No,
Henslow's Sparrow,vagrant,irregular,0.002557,0.0,0.0,7,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Song Sparrow,single-season,summer,0.547364,0.054464,0.0995,48,1,0-6,winter,No,
Lincoln's Sparrow,two-passage-migrant,two-passage,0.093202,0.0,0.0,17,2,19-32;40-15,summer|winter,No,classic_bimodal
Swamp Sparrow,two-passage-migrant,two-passage,0.228966,0.001379,0.006,48,2,30-33;40-11,summer|winter,No,classic_bimodal
Green-tailed Towhee,vagrant,irregular,0.0015,0.0,0.0,1,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Spotted Towhee,vagrant,irregular,0.001678,0.0,0.0,2,1,0-47,winter,No,low_peak_frequency|low_annual_presence
Eastern Towhee,single-season,summer,0.109246,0.0,0.0,47,1,39-11,winter,No,
Yellow-breasted Chat,vagrant,irregular,0.006209,0.0,0.0,3,1,20-18,winter,No,low_annual_presence
Yellow-headed Blackbird,vagrant,irregular,0.00416,0.0,0.0,11,1,0-47,winter,No,low_peak_frequency|low_presence
