









Frequency of observations in the selected location(s).:
Number of taxa: 	386

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	112.0	94.0	145.0	125.0	115.0	192.0	197.0	63.0	58.0	55.0	78.0	163.0	145.0	154.0	157.0	330.0	272.0	381.0	561.0	986.0	668.0	509.0	379.0	598.0	361.0	409.0	358.0	419.0	260.0	303.0	290.0	555.0	305.0	339.0	290.0	426.0	331.0	478.0	282.0	383.0	184.0	136.0	89.0	105.0	60.0	36.0	166.0	100.0	

White-winged Scoter	0.0089286	0.0	0.0137931	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0128205	0.0552147	0.0344828	0.0909091	0.0700637	0.0848485	0.0588235	0.0629921	0.0231729	0.0040568	0.0	0.0	0.0	0.0	0.0	0.00489	0.0	0.0	0.0	0.0	0.0	0.0054054	0.0065574	0.0117994	0.0448276	0.0633803	0.081571	0.1464435	0.248227	0.2402089	0.2554348	0.1838235	0.0786517	0.0380952	0.0333333	0.0277778	0.0481928	0.01	
Black Scoter	0.0	0.0	0.0	0.0	0.0	0.0	0.0050761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0063694	0.0121212	0.0073529	0.0026247	0.0035651	0.0060852	0.001497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030211	0.0209205	0.0283688	0.0652742	0.0326087	0.0220588	0.0224719	0.0285714	0.0015	0.0	0.0060241	0.0	
Surf/Black Scoter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0068966	0.0046948	0.0060423	0.0209205	0.0106383	0.0104439	0.0054348	0.0073529	0.0	0.0	0.0	0.0	0.0	0.0	
scoter sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034483	0.0	0.0030211	0.0146444	0.0141844	0.0208877	0.0	0.0073529	0.011236	0.0	0.0	0.0	0.0	0.0	
Long-tailed Duck	0.0535714	0.0957447	0.0551724	0.016	0.026087	0.0104167	0.0	0.0	0.0172414	0.0	0.0897436	0.1717791	0.1655172	0.1948052	0.1401274	0.2090909	0.1801471	0.1154856	0.0891266	0.0212982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0103448	0.0144144	0.0131148	0.0294985	0.0137931	0.0140845	0.0332326	0.0920502	0.2021277	0.2793734	0.375	0.2573529	0.1123596	0.1238095	0.2	0.1388889	0.2409639	0.05	
Bufflehead	0.0267857	0.0212766	0.0068966	0.008	0.0173913	0.0	0.0	0.0	0.0	0.0	0.0512821	0.2392638	0.2689655	0.4025974	0.4203822	0.430303	0.3602941	0.1968504	0.0695187	0.0121704	0.008982	0.0039293	0.0	0.0	0.0	0.0	0.0027933	0.0	0.0	0.0033003	0.0034483	0.0	0.0015	0.0	0.0103448	0.0093897	0.0060423	0.0209205	0.0921986	0.2088773	0.2934783	0.2794118	0.2134831	0.1714286	0.15	0.0015	0.0361446	0.05	
Common Goldeneye	0.2142857	0.2021277	0.1655172	0.144	0.1304348	0.0833333	0.0304569	0.047619	0.0862069	0.1818182	0.2564103	0.4662577	0.4758621	0.3961039	0.3312102	0.3393939	0.2536765	0.1653543	0.1229947	0.0882353	0.0613772	0.0746562	0.0580475	0.0334448	0.0249307	0.0391198	0.027933	0.0167064	0.0230769	0.009901	0.0310345	0.0378378	0.1016393	0.100295	0.1103448	0.0985915	0.102719	0.1150628	0.1595745	0.2480418	0.4402174	0.3897059	0.3370787	0.4190476	0.45	0.2777778	0.373494	0.32	
Hooded Merganser	0.0089286	0.0106383	0.0137931	0.008	0.0086957	0.0052083	0.0	0.0	0.0172414	0.0	0.0384615	0.1779141	0.1931034	0.1753247	0.1146497	0.1484848	0.0772059	0.0524934	0.0516934	0.025355	0.0389222	0.0353635	0.0422164	0.0351171	0.0249307	0.0440098	0.0391061	0.0286396	0.0538462	0.049505	0.0655172	0.1063063	0.1540984	0.1681416	0.2586207	0.2089202	0.1812689	0.1548117	0.1843972	0.2950392	0.3043478	0.2720588	0.1910112	0.1333333	0.0833333	0.0	0.0542169	0.02	
Common Merganser	0.0625	0.106383	0.0758621	0.064	0.0521739	0.0677083	0.035533	0.015873	0.0344828	0.1272727	0.2820513	0.398773	0.3517241	0.3636364	0.3375796	0.4393939	0.4485294	0.343832	0.3368984	0.296146	0.2769461	0.2612967	0.2242744	0.2240803	0.2216066	0.2151589	0.2039106	0.1957041	0.1423077	0.1452145	0.162069	0.2054054	0.3016393	0.3185841	0.3965517	0.3732394	0.3897281	0.290795	0.3546099	0.3368146	0.3641304	0.3161765	0.2359551	0.2285714	0.2333333	0.1388889	0.1686747	0.1	
Red-breasted Merganser	0.0982143	0.0638298	0.0896552	0.104	0.0521739	0.0729167	0.0050761	0.015873	0.0344828	0.0545455	0.2179487	0.3312883	0.4068966	0.3506494	0.3566879	0.4363636	0.3897059	0.3228346	0.2941176	0.2119675	0.1287425	0.1453831	0.1688654	0.0886288	0.0609418	0.0929095	0.0977654	0.0763723	0.0961538	0.0429043	0.0551724	0.0972973	0.104918	0.1681416	0.2413793	0.258216	0.2416918	0.2175732	0.3191489	0.3655352	0.4076087	0.3382353	0.2359551	0.2	0.2333333	0.2222222	0.2409639	0.12	
