species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valleys,valley_types,is_overwintering,edge_case_flags
Lapland Longspur,two-passage-migrant,two-passage,0.05618,0.0,0.0,14,2,18-33;41-14,summer|winter,No,classic_bimodal|low_presence
Snow Bunting,two-passage-migrant,two-passage,0.416667,0.0,0.0,17,2,12-37;43-10,summer|winter,No,classic_bimodal
Grasshopper Sparrow,vagrant,irregular,0.012308,0.0,0.0,8,2,25-37;39-19,summer|winter,No,
Chipping Sparrow,single-season,summer,0.316923,0.0,0.0,28,1,37-14,winter,No,
Clay-colored Sparrow,single-season,summer,0.023599,0.0,0.0,19,1,37-16,winter,No,
Field Sparrow,single-season,summer,0.020833,0.0,0.0,24,1,41-16,winter,No,
Lark Sparrow,vagrant,irregular,0.006173,0.0,0.0,3,1,35-33,winter,No,low_annual_presence
American Tree Sparrow,two-passage-migrant,two-passage,0.337079,0.0,0.0,25,2,0-9;17-36,winter|summer,Yes,classic_bimodal
Fox Sparrow,two-passage-migrant,two-passage,0.070422,0.0,0.0,12,2,16-36;42-11,summer|winter,No,classic_bimodal|low_presence
Dark-eyed Junco,single-season,winter,0.41573,0.012097,0.0291,48,2,18-23;25-33,summer|summer,No,overwintering|two_summer_valleys_merged
White-crowned Sparrow,two-passage-migrant,two-passage,0.405263,0.0,0.0,16,2,19-33;42-15,summer|winter,No,classic_bimodal
Harris's Sparrow,vagrant,irregular,0.022388,0.0,0.0,5,1,38-34,winter,No,low_annual_presence
White-throated Sparrow,single-season,summer,0.289216,0.0,0.0,45,1,3-12,winter,No,
Vesper Sparrow,single-season,summer,0.057017,0.0,0.0,21,1,36-14,winter,No,
LeConte's Sparrow,two-passage-migrant,two-passage,0.020649,0.0,0.0,13,2,26-35;37-17,summer|winter,No,classic_bimodal|low_presence
Savannah Sparrow,single-season,summer,0.154321,0.0,0.0,26,1,37-14,winter,No,
Song Sparrow,single-season,summer,0.58997,0.0,0.0,34,1,40-10,winter,No,
Lincoln's Sparrow,single-season,summer,0.052632,0.0,0.0,23,1,39-16,winter,No,
Swamp Sparrow,single-season,summer,0.321534,0.0,0.0,28,1,38-14,winter,No,
Eastern Towhee,single-season,summer,0.044118,0.0,0.0,16,1,28-13,winter,No,
Yellow-headed Blackbird,vagrant,irregular,0.005445,0.0,0.0,7,1,19-17,winter,No,low_annual_presence
Bobolink,single-season,summer,0.053097,0.0,0.0,15,1,26-17,winter,No,
Western Meadowlark,vagrant,irregular,0.058824,0.0,0.0,4,1,44-42,winter,No,low_annual_presence
Eastern Meadowlark,two-passage-migrant,two-passage,0.032448,0.0,0.0,20,2,25-37;39-10,summer|winter,No,classic_bimodal
Orchard Oriole,vagrant,irregular,0.0059,0.0,0.0,5,1,23-21,winter,No,
Baltimore Oriole,single-season,summer,0.08931,0.0,0.0,16,1,32-15,winter,No,
Red-winged Blackbird,single-season,summer,0.573503,0.0,0.0,32,1,32-11,winter,No,
Brown-headed Cowbird,single-season,summer,0.171569,0.0,0.0,23,1,26-11,winter,No,
Rusty Blackbird,two-passage-migrant,two-passage,0.084507,0.0,0.0,15,2,18-34;41-12,summer|winter,No,classic_bimodal
Brewer's Blackbird,single-season,summer,0.027778,0.0,0.0,15,1,31-16,winter,No,
Common Grackle,single-season,summer,0.505769,0.0,0.0,33,1,32-10,winter,No,
Ovenbird,single-season,summer,0.301538,0.0,0.0,18,1,27-16,winter,No,
Northern Waterthrush,two-passage-migrant,two-passage,0.058076,0.0,0.0,20,2,33-39;41-15,summer|winter,No,classic_bimodal
Golden-winged Warbler,single-season,summer,0.015625,0.0,0.0,12,1,24-17,winter,No,low_presence
