species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Marbled Godwit,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 22-31,May 22-31
Short-billed Dowitcher,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,May 8-14,September 8-14
Long-billed Dowitcher,vagrant,irregular,irregular,,October 15-21,,,,,,,,,,,October 15-21,October 15-21
American Woodcock,two-passage-migrant,two-passage,,,,,March 8-14,April 15-21,June 15-21,October 1-7,October 8-14,October 8-14,,,,,
Wilson's Snipe,two-passage-migrant,two-passage,,,,,April 15-21,May 15-21,July 15-21,September 8-14,October 15-21,October 15-21,,,,,
Wilson's Phalarope,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,May 22-31
Red-necked Phalarope,vagrant,irregular,irregular,,June 1-7,,,,,,,,,,,June 1-7,June 1-7
Spotted Sandpiper,single-season,summer,,May 1-7,June 8-14,September 1-7,,,,,,,,,,,
Solitary Sandpiper,two-passage-migrant,two-passage,,,,,May 1-7,May 8-14,May 15-21,July 15-21,September 15-21,October 1-7,,,,,
Lesser Yellowlegs,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,April 1-7,October 15-21
Willet,vagrant,irregular,irregular,,July 22-31,,,,,,,,,,,July 22-31,July 22-31
Greater Yellowlegs,two-passage-migrant,two-passage,,,,,April 15-21,May 1-7,May 15-21,September 15-21,October 8-14,October 15-21,,,,,
Ruddy Turnstone,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 15-21,June 1-7
Red Knot,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 15-21,August 22-31
Stilt Sandpiper,vagrant,irregular,irregular,,September 1-7,,,,,,,,,,,May 15-21,September 1-7
Buff-breasted Sandpiper,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,August 22-31,August 22-31
Sanderling,single-season,summer,,May 22-31,October 8-14,October 8-14,,,,,,,,,,,
Dunlin,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 1-7,November 1-7
Baird's Sandpiper,vagrant,irregular,irregular,,September 1-7,,,,,,,,,,,August 8-14,September 15-21
